input,labels
"don't waste your time or money!: This movie will give ""Plan Nine from Outer Space"" a run for worst movie ever made. There is truly nothing redeeming about this. Please, take my word for it. I know how it feels to want something new from this great story, but this is NOT it.I would give you specifics but the fact is I would have to recount the entire movie. The acting is terrible, the cinematography would not pass a college course, and the interpretation of the original material is by far the worst.It took WEEKS for me to get through the whole film. I literally had to stop over and over because I just couldn't take it! When I eventually did finish I put the CD away and swore I would never inflict such pain on myself again. If I could give this no stars, I would.
",1
"Just walk away: I expected this book to be more interesting. It was simple and ""cut to the chase"" but it did not give real insight. It was almost as if you could handle any type of person as long as you have common sense and the ability to ""just walk away"". ""Just walk away"" tends to be the theme for almost everytype of person/situation/personality that was listed in the book. I wouldnt have purchased if i knew it was going to be so vague. I would just glance through the book at the book store.
",1
"Love mash: Mash is great but why is it a 1-4 Collectors Editions its nothing spealial its the same as just bye one then two and three and so on its a great show but its just silly to make a collectors editions when there is no diffrence. BUT STILL MASH ROCKS!
",1
"Old Rehashed NFL Films Footage.: I bought this hoping it would really go into detail about each of the 5 49er Superbowls but they really did not get into the the games that much. They just showed highlights of what happened in the season of the year they went to the Superbowls and just highlights of the game itself. There is special features of some players like Young and Rice but they are just interviews from 1999 and 1996 that originally aired on ESPN years ago. Nothing new is on here just old NFL Films shows that they made for ESPN. Very disappointed. They most definitely could have gone into more detail on each game. Terrible.
",1
"Satisfied: Good enough. It is indeed snug, and it doesn't fall off very easily, but the smell is definitely strong and lingers.
",0
"Runs a little larger: The slippers are wonderful, the leather is so soft and the cut if perfect and very comfortable at the time of dancing, but be aware that they run a little larger (half a size) so order them half a size smaller and it'll be perfect in every sense. It's a wonderful product!
",0
"So Far So Good: I picked this up for 14.99 at a local store.Definately a must for PJ fans.Disc 2 is way better then disc one, I think it even sounds better.McCready solo's are a little hard to hear, which is unfortunate.Love how they went from thumbin' to betterman, I barely even noticed the transition.Haven't seen the special features yet but for the price its pretty much already worth it.Almost as good as being front row, especially with a big tv and a good sound system.
",0
"latch doesn't hold well: I bought it at Walmart, exact same one, for $9.00. The latch hardly keeps the container closed. It is very loose and the container falls open when moved. I am returning it. I'm amazed at the price of this item here. Way too expensive for what you get.
",1
"Want even more of a hassle to get what you paid for? iLok: Bought an iLok which was required to install some recording software. Endless hassles trying to add the product to iLok, as Windows 7 does not have active Xcontrol and iLok says ""active x did not initialize"" and suggests you upgrade youriLok software ""if you installed it before 2008""! Last time I checked, it's 2012,and I had just downloaded their software. Their ""support"" is 9-5, M-F. This technology and technology like it is just another impediment to doing the businessyou wanted to do, adding another layer of B.S. and hassle, and particularly withmusic recording software is anti-music and totally sucks!!!!!!!!!!!!
",1
"Excellent quality for a good price!: I have owned the SD-1600, SD-2700, SD-2710 and when I was looking for another one, the SD-2800 was first on my list. The ColorStream component output makes your component capable TV look amazing. I would suggest calibrating your TV using the Enhanced Black level setting that this unit (and all of the above) offer. I tried Samsung, Sony, Phillips and I selected and will continue to select Toshiba. The features and picture quality outstripped units that cost far more! It is a true value for the money. The only real difference in this model compared to the previous ones is the controls built into the front panel that allow you to do everything without the remote if you need to. I have loved all of the Toshiba units I have had. I think you will too!
",0
"A Course In Miracles: A powerful, life affirming study in how to make changes in my mind and accept love back into my mind. This 4 book series; text, daily lessons, clarification of terms and a question and answer manual plus an extension of the text bring love and happiness back to life.
",0
"great book!: This book is good, it cleared my doubts and have enabled me to learn how it is implemented throught it's internal workings.At least, the author does a better job than some ""TOP SECRET agents"" with their ""classified documents"".
",0
"EXCELLENT! A MASTERPIECE!: Stated simply this is a great album. It's perfect from ""debaser"" to ""gouge away"" there is not a single bad song on this disc.
",0
"Disappointing....: With huge expectations, I purchased this CD and was dissapointed to find it bland and sorry. The only winner on the entire album is ""Stitches"", a soulful, strangely sexy and seductive number. The rest of the CD is too metalic, venturing into ""cheese goth"". Don't get me wrong, I respect Orgy and believe their hearts are in the right place, but comparing them to Depeche Mode or Nine Inch Nails? I'm sorry...maybe their next album will have the sexy venom of ""Stitches""
",1
"So sad.: I usually love these books . . . this one just couldn'y hold my interest. The story went nowhere, the characters were flat, the love story pointless, and the environmentalism/social commentary was tedious. ""The Serpent's Shadow"" and ""The Fire Rose"" were much better books, and I almost wish I hadn't read this one because it makes me leery of reading anything newer by Lackey.
",1
"soul stirring...full of feelings that simply flow forward: Definitely musicical chords that strike with passion and freely, without demand to the listener. A VERY talented artist.
",0
"Do Not Waste Your Money: Nice looking and cleans up well but...This oven takes forever to heat up, make toast, and after a dozen uses the timer knob broke off when barely tapped by the tea kettle. Very cheezy brittle plastic knob. Yes, you will get burned if you touch the outside of the oven so be careful. I put an oven thermometer in it and it only reached 325 degrees after 45 minutes.There's no taking it back at this point, but you should look at kitchenaide. My daughter has one and it's quick to heat up and toast.
",1
"Tear-o-rama!Awesome book!: I've read most of the SC series,but this one rocks all the way!My favorite,to say the least.I've read it three times and cry every time!Do yourself a favor: point your little arrow and click ""Buy""! I love this book;you will too!
",0
"This liner may be slicing my inner tube: I installed the liner on both the front and back tire. Since I had a major flat on the rear tire before I installed the liner, I also replaced the inner tube with one prefilled with slime. 30 min into the initial brisk ride on city streets, the new inner tube burst. I replaced it with a 2nd slime inner tube - 10 days later, burst again. Kind of wondering if the liner is rubbing against the inner tube. I noticed a 1-2"" laceration along the tube slightly off center. I am now trying something else - buying a kevlar tire with a generic inner tube and did not install the liner on the rear tire - will see how this lives up. Bottom line, I suspect the liner causes the inner tube to slide around and eventually rub against the inner tube and cause it to tear.
",1
"Come one, come all...: The first time I saw this movie was many many years back in the 5th grade. My friends and I were avid horror/sci-fi fans as well as comedy fans, and one weekend ""Killer Klowns from Outer Space"" was one of our choices to rent. This movie satisfied every sort of wish and desire that we wanted in a movie: it was sick (blood suckers), comedic (a large man saying to a small klown ""What are you gonna do? Knock my block off?"" and the klown proceeds to do just that), and the cinematography was awful (which only adds to the loveliness of the movie). If you haven't seen this movie yet, put the Cheez-its down, and go rent it, or better yet, go buy it. If you've seen it and didn't like it...well, you've got problems. If you've seen it and love it, come on over, we're all packing under the big tent and we're gonna watch it until DVDs are out-dated.
",0
"Absolutely terrible: Read the reviews above and search the net for bulletin boards.This piece of equipment is absolutely worthless, I mean it. DirecTV otherwise is a fine service, but do NOT get this box, it's terrible along with the software used to run it.Completely non-functional...I've had three in six months, all terrible.
",1
"Dubious... Caveat Emptor, Sox fans.: The statistical side is nothing special, with info you could get from The Baseball Encyclopedia or a host of great (and thorough) websites. The most glaring red flag was its description of the '78 playoff game, in which the author claims Bucky Dent hit his homer tying the game at 3-3. Anyone with a modicum of baseball knowledge knows the Sox had a 2-0 lead at that point and Dent's homer put the Yanks ahead. If Mr. Gentile can't be bothered to research that correctly, then what else has he gotten wrong? Nope, avoid this and go read David Halberstam, Thomas Boswell or Roger Angell. In fact, read all of them and feed your soul.
",1
"A Camp Classic for the Ages: John Travolta's Tony Manero struts from the Brooklyn disco to the Great White Way and becomes an opening-night sensation in this misbegotten sequel to ""Saturday Night Fever."" Written and directed by that paragon of dance cinema, Sylvester Stallone, ""Staying Alive"" (1983) exists in its own warped universe. You know things are wrong when the Bee Gees play second fiddle to Frank Stallone in the soundtrack department. Leaving no cliché unturned, Sly handles the backstage drama in predictable ""Rocky"" fashion. The climactic bump-and-grind production numbers look like MTV run amok. A well-lubricated Travolta gives it his best shot, but cannot overcome Stallone's ham-handed approach. Top acting honors belong to Steve Inwood as the dictatorial choreographer-director - in other words, a poor man's Bob Fosse. Come to think of it, you're better off watching ""All That Jazz.""
",1
"Not impressed.: I would say that I am a Ben Stiller fan but I was not very impressed. The best thing about this movie was Robert Downey Jr., that was good acting and good make-up. My kids are still haunted by the panda bear scene, HA! HA! I would say that I liked the Love Guru and Zohan better, what does that tell you about 2008's year of comedies.
",1
"Outstanding!!!!!: To say that the Master Handbook of Acoustics is an 'incredibly comprehensive work' it's like saying that the Beatles were 'some band from Liverpool'. Without a doubt, a must-have. Better than that, buy two and enlighten a friend! :-)Now really, this is the absolute definitive book on acoustics, covering topics ranging from sound propagation to room acoustics to absortion, diffusion, refraction, reflection, diffraction and everything else you can think of.
",0
